Dominant native,Invasive
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Typha x glauca,Carex stricta
Corema album,Acacia longifola
Corema album,Acacia longifola
Corema album,Acacia longifola
Planchonella samoensis,Falcataria moluccana
Agrostis halli,Avena barbata
Festuca rubra,Avena barbata
Agrostis halli,Avena barbata
Festuca rubra,Avena barbata
Agrostis halli,Avena barbata
Festuca rubra,Avena barbata
Nassella pulchra,Brachypodium distachyon
Nassella pulchra,Brachypodium distachyon
Nassella pulchra,Brachypodium distachyon
Nassella pulchra,Brachypodium distachyon
Nassella pulchra,Brachypodium distachyon
Nassella pulchra,Brachypodium distachyon
Quercus ilex,Acacia dealbata
Quercus ilex,Acacia dealbata
Eupatorium perfoliatum,Microstegium vimineum
Eupatorium perfoliatum,Microstegium vimineum
Selaginella densa,Agropyron cristatum
Selaginella densa,Agropyron cristatum
Acer rubrum,Rhamnus cathartica
Pascopyrum smithii,Bromus tectorum
Pascopyrum smithii,Bromus tectorum
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Carya laciniosa,Lonicera maackii in
Fraxinus anustifola,Ailanthus altissima
Poplus alba,Robinia pseudoacacia
Fraxinus anustifola,Ailanthus altissima
Poplus alba,Robinia pseudoacacia
Fraxinus anustifola,Ailanthus altissima
Poplus alba,Robinia pseudoacacia
Retama raetam,Haloxylon persicum
Retama raetam,Haloxylon persicum
Retama raetam,Haloxylon persicum
Cynodon dactylon,Ambrosia artemisiifolia
Toxicodendron vernicifluu,Ambrosia artemisiifolia
Cynodon dactylon,Ambrosia artemisiifolia
Toxicodendron vernicifluu,Ambrosia artemisiifolia
Cynodon dactylon,Ambrosia artemisiifolia
Toxicodendron vernicifluu,Ambrosia artemisiifolia
Pinus pinaster,Acacia longifola
Acer rubrum,Microstegium vimineum
Panicum virgatum,Rhamnus davurica
Liriodendron tulipifera,Alianthus altissima
Cynodon dactylon,Arundo donax
Paspalum quadrifarium,Festuca arundinacea
Paspalum quadrifarium,Festuca arundinacea
Paspalum quadrifarium,Festuca arundinacea
Paspalum quadrifarium,Festuca arundinacea
Paspalum quadrifarium,Festuca arundinacea
Paspalum quadrifarium,Festuca arundinacea
Artemisia tridentata,Bromus tectorum
Artemisia tridentata,Bromus tectorum
Artemisia tridentata,Bromus tectorum
Quercus alba,Microstegium vimineum
Quercus alba,Microstegium vimineum
Quercus alba,Microstegium vimineum
Quercus alba,Microstegium vimineum
Acrachne racemosa,Parthenium hysterophorus
Acrachne racemosa,Parthenium hysterophorus
Acrachne racemosa,Parthenium hysterophorus
Phragmites australis,Spartina alterniflora
Cyperus malaccensis,Spartina alterniflora
